0x00370EC5	煌雷霹雳弩 
0x003A69DA	死神猫镰刀α
0x004C6468	机械爆风弩Ⅰ 
0x004CDBD4	护火龙狩猎证 S
0x005CE6AF	燕尾蝶α 
0x00811C94	护雷白弹Ⅰ 
0x008E25BB	影蜘蛛猫尖刃刀
0x00912E28	狙击of变幻 
0x00996822	致命剧毒剑 
0x009DCF7E	波涛刀Ⅰ 
0x00A13F53	护雷颚龙猫铠甲α
0x00ADFC00	火石炎尾锉 
0x00B20522	铠龙豪枪Ⅰ 
0x00D3D213	护凶爪龙的牙
0x00DFC739	桃毛兽王狩猎证 S
0x00E37C36	雪鬼兽
0x00E3D5E5	威吓
0x0112F1E6	攀岩者
0x01BD0A4F	希望之弓Ⅴ 
0x01C69B13	风铗龙猫衣
0x01DA2B0D	散弹·刚射强化
0x01E8115D	流水·速变珠【3】
0x01F17539	持续护石Ⅱ
0x01F29B79	蓝蘑菇
0x020E936D	机械军刀Ⅱ 
0x021664E1	辟乱刃Ⅰ 
0x02366BAF	增弹珠【1】
0x02714781	狂野战斧 
0x02A29EDF	波涛盾斧Ⅲ 
0x02A70180	生肉
0x02E32ED3	守势·流水珠【3】
0x02F50E01	毒怪鸟β 
0x0311C8EB	慢动作速度
0x031AD78D	巨角蝉
0x031DB654	飞燕珠【2】
0x0364DCE8	沼渡珠【1】
0x0376D3F8	超特殊许可
0x038064C4	利刃珠Ⅲ【3】
0x03838B2C	辟蛮刀Ⅱ 
0x03887460	拔刀珠Ⅲ【3】
0x038D2BC7	操虫棍
0x039723AE	冰狼龙
0x03AFC9FC	雌火龙的翼膜
0x03E57C6F	辟暴斧Ⅰ 
0x03EFAFE3	机械之音Ⅰ 
0x0403FEAF	柔柔绵绵蛋
0x0431398D	特射珠【1】
0x04717056	骨制反曲刀Ⅳ 
0x0472AAAF	你只能在游戏标题页面使用此mod
0x047E09DF	雾
0x048B2D6A	投射器异臭弹
0x049352F2	辟兽的刚毛
0x04CA32B5	痛击珠【3】
0x04E5E378	强力猎弓 
0x050FE1AB	蓄击·击晕珠【3】
0x05207F7E	投射器裂伤弹
0x056BEBA5	速变·流水珠【3】
0x05781D1D	雷光珠Ⅱ【2】
0x05948666	加护护石Ⅲ
0x059CB65B	煌雷龙猫【铠甲】
0x05DA9E89	刺花蜘蛛的上等绒毛
0x05DCDAF8	沙海铳枪Ⅱ 
0x05F1685B	黑蚀龙的尖触角
0x06303404	影蜘蛛猫尖刃刀α
0x06528F32	移除玩家的效果##SNSCharge
0x065E4029	(任务目标)
0x06635CB9	缠蛙狼牙棒Ⅲ 
0x066E796A	黑蚀龙的暗玉
0x066F1B9E	血眠虫 
0x068329AA	耐缚珠【1】
0x0690AE02	迅击炼弩Ⅰ 
0x06C2F59A	重击沙海锤 
0x06CF692C	昂扬·火炎珠【3】
0x06D101AE	餐点破坏好手
0x06D308E4	希望之剑Ⅴ 
0x06DE9D4F	盔速龙β 
0x06E1A666	波衣龙的锐爪
0x0705248E	耐属护石Ⅱ
0x07141196	重置GUI设定
0x07149AB3	黑蚀龙的坚壳
0x071CF309	沙海龙β 
0x0731AA60	移除玩家的效果##BowCharge
0x0738C9B7	垂涎蘑菇
0x07442170	血眠虫的甲壳
0x07494DBF	属性弱特触发需要的属性值
0x07569E7B	全开珠【3】
0x0756BFAE	飞燕·匠珠【3】
0x079842E8	希望之弓Ⅰ 
0x07A950B9	期冀号角 
0x07C3F6FE	刺花蜘蛛 
0x07C7ADC8	意志of轮廓Ⅰ 
0x07CD13B9	炎尾大剑Ⅱ 
0x07DA9835	护火龙狩猎证
0x07F66AC4	穿刺沙海枪 
0x08054160	毒蛛刺花斩斧 
0x0837D958	护石类型
0x08790D52	真·龙穿弓 
0x0895D360	猎手珠【1】
0x08A3FA7B	禁用脚本
0x08AE0CBB	餐点垂钓好手
0x08DC3215	青年铁剑Ⅲ 
0x08EADB09	沙海铳枪Ⅲ 
0x092040E2	破龙珠【1】
0x0929A9C3	小胃口护石Ⅱ
0x094899D4	排除已完成任务
0x09546A8C	插槽 pt %d
0x095517F1	霸主雄火龙
0x0955F34A	集中珠Ⅱ【2】
0x09573E09	注意：加载默认值后需要重新启动游戏才能完全恢复亮度更改
0x095A7A6A	缠蛙强击锤 
0x095C16EF	桃毛兽王的牙
0x0980B28F	狂暴护辟裂弩 
0x099F5A4B	阿剌克涅之鳞Ⅱ 
0x09BD1780	火药草
0x09CC7B4F	速变珠Ⅲ【3】
0x0A16483F	雪尾弹射 
0x0A165EA2	炎尾龙的头冠
0x0A1DABB1	鬼人粉尘
0x0A25AB35	怪鸟炮Ⅰ 
0x0A299A65	黑痹大剑 
0x0A2B836A	痛击护石Ⅱ
0x0A2CC6A0	植学珠【1】
0x0A5FE575	水耐性
0x0A6C8BD7	辟裂弩Ⅰ 
0x0A8AF202	骨制反曲刀Ⅲ 
0x0AA17B6A	狱焰蛸猫触手α
0x0AC88B34	强毒·匠珠【3】
0x0AEBA9A0	胶片颗粒
0x0B0E9C18	沼喷龙 
0x0B1775D7	耐防珠【1】
0x0B324878	逆上珠【2】
0x0B3CFD1B	冻峰龙猫礼服α
0x0B7D11FB	可以在上面的“标准Buff”中选择对单个猎虫的生效
0x0B84EB30	太刀
0x0B8CB49E	缠蛙破坏炮Ⅳ 
0x0BA8EC80	防御
0x0BAF073C	怪物辣椒
0x0C04E4C2	护凶爪龙狩猎证 S
0x0C2C5E84	<COL AUTOQUESTBR>任务 ID</COL>
0x0C35C949	缠蛙棍Ⅲ 
0x0C464EA2	狂暴护雷大剑 
0x0C475365	守势·火炎珠【3】
0x0C4ECA91	沙海笛Ⅲ 
0x0C9958DA	煌雷龙α 
0x0CADE5DB	锁刃枪Ⅰ 
0x0CD87FDB	怪异研究经验倍率
0x0CF50638	护辟蛮刀Ⅰ 
0x0D34762E	重弩
0x0D38EA41	沙海长刃Ⅱ 
0x0D6FC0DE	桃毛兽的毛
0x0D70A1D0	狮王哈奴曼锤 
0x0D83FD1F	集中珠【1】
0x0DC3999F	地学护石Ⅰ
0x0DC829DE	炎尾长枪Ⅳ 
0x0DCC203F	希望大剑Ⅱ 
0x0DCE8827	风剪轻弩Ⅲ 
0x0DD98416	酥加的布料
0x0DFD8A2E	岚龙
0x0DFFCE49	优质盔速龙黄铜
0x0E157716	雪狮子王狩猎证 S
0x0E1636D7	怪异克服霞龙
0x0E2BE232	耐冰珠【1】
0x0E2EBF39	黑蚀龙α 
0x0E3206A9	初弹珠Ⅱ【2】
0x0E3E3991	钢铁突击弩 
0x0E6258C4	整备
0x0E8CBF0C	耐防护石Ⅲ
0x0E8EA117	霸主青熊兽
0x0E8F5162	浑身护石Ⅱ
0x0EB6A40A	利爪鲎虫
0x0ED40F02	移除玩家的效果##CBSword
0x0ED4DCB6	钳速龙 
0x0EDBD0EC	防御力下降耐性
